DSC	analyze.est	analyze.se	analyze.p	analyze.truth	analyze.DSC_TIME
1	0.18225856367614246	0.009840124286599	1.619095076905992e-44	0.2	0.3680000000000001
2	0.17745563211136633	0.008841216099681854	5.012054869866135e-53	0.2	0.3619999999999999
3	0.20147551100613478	0.01172469291632987	4.844799447356274e-41	0.2	0.367
4	0.19282041830443605	0.009656427545927205	5.666671659285123e-50	0.2	0.3600000000000001
5	0.16499986614275214	0.01052079877042513	1.6702601643106678e-38	0.2	0.5190000000000001
6	0.1836130547200745	0.010299584608852243	1.6105391992163347e-44	0.2	0.3779999999999999
7	0.1766830529820068	0.00949237535526694	2.7696380161354813e-45	0.2	0.369
8	0.17648318904362154	0.00920199598366345	1.5694622660879427e-48	0.2	0.565
9	0.1822317074997884	0.011186491812058769	7.909003281382227e-40	0.2	0.30200000000000005
10	0.1869226650454257	0.00982788413258152	9.098247839929698e-46	0.2	0.30000000000000004
